backbone,method,split_index,setting,analysis_unit,attribute,metric,gap_max_minus_min,eligible_groups,patient_outcome_aggregation,patient_score_aggregation
vits16,baseline,0,internal_test,patient,sex,auroc,0.033067877960351155,2,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,internal_test,patient,sex,auprc,0.170370907287272,2,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,internal_test,patient,sex,brier,0.006044816593904559,2,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,internal_test,patient,sex,ece,0.0159552480738765,2,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,internal_test,patient,sex,sensitivity,0.01753246753246751,2,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,internal_test,patient,sex,fpr,0.039002415346501396,2,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,internal_test,patient,sex,fnr,0.01753246753246751,2,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,internal_test,patient,sex,ppv,0.07605977984183909,2,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,internal_test,patient,age_group,auroc,0.14162566159400636,3,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,internal_test,patient,age_group,auprc,0.3326171349740522,3,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,internal_test,patient,age_group,brier,0.03226759062981929,3,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,internal_test,patient,age_group,ece,0.013212419625405415,3,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,internal_test,patient,age_group,sensitivity,0.07317073170731703,3,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,internal_test,patient,age_group,fpr,0.36778134911343363,3,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,internal_test,patient,age_group,fnr,0.07317073170731703,3,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,internal_test,patient,age_group,ppv,0.026785714285714274,3,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,internal_test,patient,sex_age,auroc,0.18221231264709525,4,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,internal_test,patient,sex_age,auprc,0.42563029359361415,4,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,internal_test,patient,sex_age,brier,0.03519224864736778,4,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,internal_test,patient,sex_age,ece,0.014350073790299817,4,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,internal_test,patient,sex_age,sensitivity,0.07407407407407407,4,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,internal_test,patient,sex_age,fpr,0.31845919145690316,4,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,internal_test,patient,sex_age,fnr,0.07407407407407407,4,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,internal_test,patient,sex_age,ppv,0.11198712791633145,4,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,external_full,patient,sex,auroc,0.0006155686805114913,2,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,external_full,patient,sex,auprc,0.06933666489402668,2,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,external_full,patient,sex,brier,0.017127629687046092,2,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,external_full,patient,sex,ece,0.031926560454621875,2,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,external_full,patient,sex,sensitivity,0.008547008547008628,2,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,external_full,patient,sex,fpr,0.014766382603585093,2,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,external_full,patient,sex,fnr,0.008547008547008628,2,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,external_full,patient,sex,ppv,0.051083787552287985,2,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,external_full,patient,age_group,auroc,0.09530786492482679,3,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,external_full,patient,age_group,auprc,0.3022785572888155,3,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,external_full,patient,age_group,brier,0.014435811981074992,3,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,external_full,patient,age_group,ece,0.036969993012244226,3,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,external_full,patient,age_group,sensitivity,0.043740573152337814,3,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,external_full,patient,age_group,fpr,0.20898963842573248,3,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,external_full,patient,age_group,fnr,0.043740573152337814,3,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,external_full,patient,age_group,ppv,0.12159670246230614,3,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,external_full,patient,sex_age,auroc,0.2179925023062277,6,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,external_full,patient,sex_age,auprc,0.47638781208634307,6,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,external_full,patient,sex_age,brier,0.07707537526234114,6,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,external_full,patient,sex_age,ece,0.06850506410950159,6,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,external_full,patient,sex_age,sensitivity,0.16329966329966328,6,max_image_outcome,max_calibrated_image_probability
vits16,baseline,0,external_full,patient,sex_age,fpr,0.22192513368983957,6,max_image_outcome,max_calibrated_image_probability
