backbone,setting,method,n_splits,mean_method_minus_baseline,min_method_minus_baseline,max_method_minus_baseline,improved_splits,metric
convnext_tiny,external_full,age_erased,5,0.00017433120159313643,-5.191862390263591e-05,0.0005486067925714044,3,auroc
convnext_tiny,external_full,age_erased,5,7.055635296034369e-05,-5.8427121624599065e-05,0.00019145534557629684,2,brier
convnext_tiny,external_full,age_erased,5,9.816478733367661e-05,-7.347368247057062e-05,0.0002445196023607432,2,ece
convnext_tiny,external_full,age_erased,5,-0.0009280742459396585,-0.0034802784222737193,0.001160092807424573,1,sensitivity
convnext_tiny,external_full,age_erased,5,0.0014917951268025754,-0.00024863252113371814,0.002983590253605173,4,specificity
convnext_tiny,external_full,joint_erased,5,-0.00042149269504963003,-0.0028941748457730343,0.0007033531354810885,3,auroc
convnext_tiny,external_full,joint_erased,5,0.00025337047150704174,-0.0008113640164641445,0.002391168059063864,3,brier
convnext_tiny,external_full,joint_erased,5,0.0003447259723312002,-0.0011627562963353044,0.0032962987916458353,4,ece
convnext_tiny,external_full,joint_erased,5,-0.010904872389791176,-0.06496519721577731,0.011600928074245953,2,sensitivity
convnext_tiny,external_full,joint_erased,5,0.008851317752361986,-0.009199403281949237,0.050969666832421656,3,specificity
convnext_tiny,external_full,sex_erased,5,-0.0004025423973251341,-0.0023793151587384598,0.00016844709088414955,3,auroc
convnext_tiny,external_full,sex_erased,5,0.00020024251946143545,-0.0007327843836751891,0.0021035685571889617,3,brier
convnext_tiny,external_full,sex_erased,5,0.0002851564931107997,-0.0010662803703940793,0.0029367262908794878,3,ece
convnext_tiny,external_full,sex_erased,5,-0.009976798143851495,-0.061484918793503485,0.006960556844547661,3,sensitivity
convnext_tiny,external_full,sex_erased,5,0.008503232222774692,-0.006713078070611611,0.049477871705619014,2,specificity
convnext_tiny,internal_test,age_erased,5,-0.00016044371256733746,-0.0002816020025032673,9.283012266070312e-05,1,auroc
convnext_tiny,internal_test,age_erased,5,-6.096361531392203e-07,-1.0729499005920906e-05,8.479612983038065e-06,2,brier
convnext_tiny,internal_test,age_erased,5,-2.0705629052783678e-05,-0.00013114883570933267,3.062707497676967e-05,2,ece
convnext_tiny,internal_test,age_erased,5,-0.0010928961748633893,-0.005464480874316946,0.0,0,sensitivity
convnext_tiny,internal_test,age_erased,5,0.00130343595555773,0.0009803921568627416,0.0019486846378693468,5,specificity
convnext_tiny,internal_test,joint_erased,5,-0.0011068780469027262,-0.0053745404022432774,0.00010175609599349933,2,auroc
convnext_tiny,internal_test,joint_erased,5,-7.371550249074058e-05,-0.00044423731823578505,3.0810958441589154e-05,1,brier
convnext_tiny,internal_test,joint_erased,5,-0.00017044551011042384,-0.0014113250798020015,0.0005638354815174244,2,ece
convnext_tiny,internal_test,joint_erased,5,-0.004280033187423116,-0.010928961748633892,0.0,0,sensitivity
convnext_tiny,internal_test,joint_erased,5,0.0067123313252341,-0.008169934640522958,0.03883495145631066,3,specificity
convnext_tiny,internal_test,sex_erased,5,-0.000792280045328364,-0.004808620952574505,0.0002989848421637298,4,auroc
convnext_tiny,internal_test,sex_erased,5,-8.558626294156712e-05,-0.0004854860217361097,4.369896725345962e-05,2,brier
convnext_tiny,internal_test,sex_erased,5,-0.0004500058158442472,-0.0021618027993736333,0.0007101080540896035,3,ece
convnext_tiny,internal_test,sex_erased,5,-0.004280033187423116,-0.010928961748633892,0.0,0,sensitivity
convnext_tiny,internal_test,sex_erased,5,0.007171848247120827,-0.005555555555555536,0.03883495145631066,3,specificity
vits16,external_full,age_erased,5,5.624517589455369e-05,-4.2400209520288e-05,0.00017623488446949498,2,auroc
vits16,external_full,age_erased,5,4.442040379878664e-05,-1.419189479021088e-05,0.0001247154201302475,1,brier
vits16,external_full,age_erased,5,0.00012367520499618757,-7.121710462609787e-05,0.0003169258527883495,1,ece
vits16,external_full,age_erased,5,0.0009280742459396807,-0.001160092807424573,0.0023201856148492572,3,sensitivity
vits16,external_full,age_erased,5,0.0004475385380407593,-0.0009945300845350946,0.00174042764793636,3,specificity
vits16,external_full,joint_erased,5,-0.0002715344030108424,-0.0008728097551632397,0.00018113831006028036,1,auroc
vits16,external_full,joint_erased,5,-0.00022258895984171023,-0.00042217911364143823,-3.8810117057933025e-05,5,brier
vits16,external_full,joint_erased,5,-0.000656287151195209,-0.0009354726729012275,-0.00040388259087408007,5,ece
vits16,external_full,joint_erased,5,0.005104408352668233,0.001160092807424573,0.0139211136890951,5,sensitivity
vits16,external_full,joint_erased,5,-0.008254599701640997,-0.02958727001491801,-0.001989060169070078,0,specificity
vits16,external_full,sex_erased,5,-0.00029547465736590173,-0.0008044502336913562,-1.7306207967804355e-06,0,auroc
vits16,external_full,sex_erased,5,-0.0002178654903968569,-0.0004548705656805263,-2.1570725653730083e-06,5,brier
vits16,external_full,sex_erased,5,-0.0006066307764874629,-0.001028289717946912,-0.00025366097521307973,5,ece
vits16,external_full,sex_erased,5,0.004640371229698403,-0.001160092807424573,0.015081206496519672,4,sensitivity
vits16,external_full,sex_erased,5,-0.00830432620586774,-0.03157633018398809,-0.0004972650422675473,0,specificity
