backbone,control_index,best_C,n_images,n_events,prevalence,auroc,auprc,brier,ece,calibration_intercept,calibration_slope,threshold,sensitivity,specificity,ppv,fpr,fnr,sex_age_sensitivity_gap,sex_age_ece_gap,analysis_unit,fairness_analysis_unit,patient_outcome_aggregation,patient_score_aggregation
vits16,0,0.1,4884.0,862.0,0.17649467649467648,0.790725257026032,0.5686082603788875,0.11327435601503826,0.06613256679051151,0.10299332152338489,0.6215440465784359,0.017197157182733593,0.8758700696055685,0.4246643460964694,0.24600847181492344,0.5753356539035306,0.12412993039443154,0.11363636363636365,0.1375986441907417,patient,patient,max_image_outcome,max_calibrated_image_probability
vits16,1,0.01,4884.0,862.0,0.17649467649467648,0.8143837086280677,0.6189544726101336,0.11824157465278565,0.10487796780143674,1.0486813201923082,0.784880506876787,0.017361553775562834,0.8225058004640371,0.5984584783689707,0.3050774526678141,0.4015415216310293,0.1774941995359629,0.2087542087542088,0.06562047256272464,patient,patient,max_image_outcome,max_calibrated_image_probability
vits16,2,0.01,4884.0,862.0,0.17649467649467648,0.8143961114104444,0.6185846605866165,0.11809922997555161,0.10450487488730449,1.039354126479863,0.7827717145698935,0.017381962297162996,0.8225058004640371,0.6021879661859771,0.30705933304460803,0.39781203381402286,0.1774941995359629,0.16329966329966328,0.06520387764912743,patient,patient,max_image_outcome,max_calibrated_image_probability
vits16,3,0.01,4884.0,862.0,0.17649467649467648,0.8134933042281374,0.6169725811605604,0.11751183168984819,0.10279520986139862,0.9951759013078441,0.7792158916391619,0.01693966250366068,0.8329466357308585,0.578070611636002,0.29730848861283643,0.42192938836399796,0.16705336426914152,0.14057239057239057,0.0642277100600003,patient,patient,max_image_outcome,max_calibrated_image_probability
vits16,4,0.01,4884.0,862.0,0.17649467649467648,0.8146193614932258,0.61861805860202,0.11781453406192281,0.10373514258436028,1.0272787581260023,0.7838526504573713,0.017025769271528587,0.8329466357308585,0.5900049726504226,0.3033375580904098,0.4099950273495774,0.16705336426914152,0.16329966329966328,0.06860715138607576,patient,patient,max_image_outcome,max_calibrated_image_probability
vits16,5,0.01,4884.0,862.0,0.17649467649467648,0.8132374607870172,0.6166515815301423,0.11824500713182806,0.10446587716900646,1.0214558907391629,0.776743506970087,0.01702377111537606,0.8248259860788864,0.5962207856787668,0.30449678800856533,0.4037792143212332,0.17517401392111365,0.16329966329966328,0.06945987990492783,patient,patient,max_image_outcome,max_calibrated_image_probability
vits16,6,0.1,4884.0,862.0,0.17649467649467648,0.7895599723562172,0.5691678548383783,0.11386531762261384,0.07019366177217407,0.15365820969940033,0.6275709077972607,0.01666040619349482,0.87122969837587,0.4259075087021382,0.24542483660130718,0.5740924912978618,0.12877030162412995,0.11363636363636365,0.15057944802583811,patient,patient,max_image_outcome,max_calibrated_image_probability
vits16,7,0.01,4884.0,862.0,0.17649467649467648,0.8152245018984909,0.6191609912295818,0.11757192959278864,0.10334210584226425,1.0179676274072726,0.7825616831662409,0.016450325996546094,0.8410672853828306,0.5778219791148682,0.2992158481221626,0.4221780208851318,0.1589327146171694,0.16329966329966328,0.06605929792367164,patient,patient,max_image_outcome,max_calibrated_image_probability
vits16,8,0.1,4884.0,862.0,0.17649467649467648,0.7906646852981456,0.5700088034393237,0.11383221552227395,0.07120784652829817,0.15930584035226053,0.6216062102006983,0.016223146199235945,0.8723897911832946,0.4316260566882148,0.24753127057274524,0.5683739433117851,0.12761020881670537,0.13636363636363635,0.12425617842652335,patient,patient,max_image_outcome,max_calibrated_image_probability
vits16,9,0.01,4884.0,862.0,0.17649467649467648,0.8140710431374539,0.6180123464337144,0.11821596127992137,0.10466713877345887,1.0332628460940876,0.7788752885431728,0.01710455166882278,0.8225058004640371,0.6001989060169071,0.3059991368148468,0.39980109398309294,0.1774941995359629,0.16329966329966328,0.07032708656324008,patient,patient,max_image_outcome,max_calibrated_image_probability
