backbone,setting,attribute,metric,method,n_splits,mean_method_minus_baseline,min_method_minus_baseline,max_method_minus_baseline,improved_splits,value_column,analysis_unit,patient_outcome_aggregation,patient_score_aggregation
convnext_tiny,external_full,age_group,auprc,age_erased,5,-0.0014891890382781048,-0.0031763719612876717,0.0003454686387696637,4,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,age_group,auprc,joint_erased,5,0.009332559578521249,-0.002758068865705343,0.03936839565618422,1,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,age_group,auprc,sex_erased,5,0.008939093987004054,-0.0031236786128619465,0.040676480693515094,1,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,age_group,auroc,age_erased,5,-0.0001645239865975201,-0.0008371037666887737,0.0009824720000558562,3,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,age_group,auroc,joint_erased,5,0.0009628923297414716,-0.00039821711072396404,0.0019282045195035957,1,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,age_group,auroc,sex_erased,5,0.001023600788803769,-0.001208031215134353,0.0023509293366431594,1,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,age_group,brier,age_erased,5,6.991736946034277e-05,-0.00012014128694504134,0.00021908335239378962,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,age_group,brier,joint_erased,5,-0.0019380805616896451,-0.006347192664946932,-0.00014215008220494485,5,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,age_group,brier,sex_erased,5,-0.0019826414284539267,-0.006686730318099188,-4.972294912009012e-05,5,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,age_group,ece,age_erased,5,0.0001278698164359049,-0.0002007936872834709,0.0007797169907434592,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,age_group,ece,joint_erased,5,-0.002499771425181116,-0.012997887635794514,0.00032449222285541035,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,age_group,ece,sex_erased,5,-0.0003912370344735211,-0.0028498516946277724,0.001185792768107763,3,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,age_group,fnr,age_erased,5,-0.0027210884353741525,-0.006802721088435382,0.0,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,age_group,fnr,joint_erased,5,0.001131734745180113,-0.01534972963544401,0.013605442176870763,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,age_group,fnr,sex_erased,5,-0.0010865884815464578,-0.03244374672946104,0.013605442176870763,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,age_group,fpr,age_erased,5,-0.0002211188024720423,-0.008749251190213525,0.009280742459396696,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,age_group,fpr,joint_erased,5,-0.007859677233995254,-0.04383853813895178,0.021171611438660642,3,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,age_group,fpr,sex_erased,5,-0.00796597548783191,-0.042267729244426455,0.014960431314437028,3,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,age_group,ppv,age_erased,5,0.0011930716552330967,-0.009079736053420273,0.010822510822510845,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,age_group,ppv,joint_erased,5,0.009018903707045,-0.009279609279609247,0.02414099765542893,1,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,age_group,ppv,sex_erased,5,0.006123874621709413,-0.005073792724799464,0.02856755701156577,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,age_group,sensitivity,age_erased,5,-0.0027210884353741525,-0.006802721088435382,0.0,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,age_group,sensitivity,joint_erased,5,0.001131734745180113,-0.01534972963544401,0.013605442176870763,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,age_group,sensitivity,sex_erased,5,-0.0010865884815464578,-0.03244374672946104,0.013605442176870763,2,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex,auprc,age_erased,5,0.00022362349435336437,-0.0006213442240056155,0.0010994134966469948,1,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,external_full,sex,auprc,joint_erased,5,-0.0069076431454450525,-0.021685551628921718,-0.0006666912413713089,5,gap_max_minus_min,patient,max_image_outcome,max_calibrated_image_probability
