backbone,direction,source,target,attribute,method,contrast,n_splits,mean_difference,minimum_difference,maximum_difference,improved_splits
vits16,brset_to_mbrset,brset,mbrset,sex,mean_variance,aligned_minus_unaligned_external_auroc,5,-0.005538162238014932,-0.008658860049646111,-0.003508193758604339,0
vits16,brset_to_mbrset,brset,mbrset,sex,coral,aligned_minus_unaligned_external_auroc,5,-0.014547310119012757,-0.029277471549080003,-0.0006458265782887107,0
vits16,mbrset_to_brset,mbrset,brset,sex,mean_variance,aligned_minus_unaligned_external_auroc,5,0.004008916248501149,-0.002324686708428003,0.013066437089876093,3
vits16,mbrset_to_brset,mbrset,brset,sex,coral,aligned_minus_unaligned_external_auroc,5,-0.007301470763265039,-0.027070216798841473,0.021210804422698182,1
vits16,brset_to_mbrset_sizematched,brset,mbrset,sex,mean_variance,aligned_minus_unaligned_external_auroc,5,-0.002102258532618184,-0.013211538768198805,0.002306903168536767,3
vits16,brset_to_mbrset_sizematched,brset,mbrset,sex,coral,aligned_minus_unaligned_external_auroc,5,0.00391057295182613,-0.014511165092409017,0.01664797401810436,3
vits16,brset_to_mbrset,brset,mbrset,age65,mean_variance,aligned_minus_unaligned_external_auroc,5,-0.039405645033322736,-0.06023881307521417,-0.028582196128213222,0
vits16,brset_to_mbrset,brset,mbrset,age65,coral,aligned_minus_unaligned_external_auroc,5,-0.03027907807045378,-0.05370318946366226,-0.009369545382418187,0
vits16,mbrset_to_brset,mbrset,brset,age65,mean_variance,aligned_minus_unaligned_external_auroc,5,0.007815362064759458,0.0003576611852851297,0.01323488519696181,5
vits16,mbrset_to_brset,mbrset,brset,age65,coral,aligned_minus_unaligned_external_auroc,5,-0.04067718907252045,-0.06608940392558993,0.00922528106380438,1
vits16,brset_to_mbrset_sizematched,brset,mbrset,age65,mean_variance,aligned_minus_unaligned_external_auroc,5,-0.0002494247857822707,-0.0063025626785148114,0.0031438432243733327,3
vits16,brset_to_mbrset_sizematched,brset,mbrset,age65,coral,aligned_minus_unaligned_external_auroc,5,-0.02995378451285302,-0.060821465407806974,0.007638943986036262,1
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,mean_variance,aligned_minus_unaligned_external_auroc,5,0.011956030638225567,-0.0010843507981139755,0.01710776001828518,4
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,coral,aligned_minus_unaligned_external_auroc,5,0.03613971115871393,0.013756371889800278,0.05522481675003055,5
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,mean_variance,aligned_minus_unaligned_external_auroc,5,0.007927873043225819,0.002010187431184085,0.011200911741601982,5
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,coral,aligned_minus_unaligned_external_auroc,5,0.008667379543363718,-0.00142713418433571,0.016308921429381562,4
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,sex,mean_variance,aligned_minus_unaligned_external_auroc,5,-0.0024557356310230373,-0.009530593044208557,0.008023664361535343,2
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,sex,coral,aligned_minus_unaligned_external_auroc,5,0.02298823692001848,0.0008504712142071158,0.03846521838506145,5
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,mean_variance,aligned_minus_unaligned_external_auroc,5,-0.013277530942557925,-0.026583822596001228,-0.006736452713424268,0
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,coral,aligned_minus_unaligned_external_auroc,5,-0.027245318946366236,-0.06686617343700418,-0.0003297564265312136,0
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,mean_variance,aligned_minus_unaligned_external_auroc,5,-0.0048100777758022465,-0.02059187757650427,0.008202690521771916,2
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,coral,aligned_minus_unaligned_external_auroc,5,0.0052592216631038415,-0.027192587110138944,0.04945828802269181,2
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,age65,mean_variance,aligned_minus_unaligned_external_auroc,5,0.0010353855918756373,-0.010130712472230963,0.012166276578863822,3
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,age65,coral,aligned_minus_unaligned_external_auroc,5,-0.03809852031101237,-0.0887069581085369,0.023973044271659805,1
