method,mean_l2_distance,covariance_frobenius_distance,covariance_relative_distance,backbone,direction,source,target,split_index,source_reference_n,target_n,source_shrinkage,target_shrinkage,subspace_components,subspace_source_variance,ot_regularisation,ot_regularisation_scale,ot_iterations,ot_variance_kept,ot_support_patients,coordinate_space
unaligned,22.68309225312276,79.17793732706252,1.1173923443668585,vits16,brset_to_mbrset,brset,mbrset,0,5114,1287,0.0045444862636725555,0.014339893040101463,102.0,0.9503128805846958,10.70333464007987,0.01,214.0,0.44700763859411186,3000.0,source-training-image-standardised-patient-mean-coordinates
mean_variance,1.2441682083031708e-08,74.42602084482402,1.0503313008795694,vits16,brset_to_mbrset,brset,mbrset,0,5114,1287,0.0045444862636725555,0.014339893040101463,102.0,0.9503128805846958,10.70333464007987,0.01,214.0,0.44700763859411186,3000.0,source-training-image-standardised-patient-mean-coordinates
coral,1.1658525461738942e-08,3.679583109738219,0.051927824038904155,vits16,brset_to_mbrset,brset,mbrset,0,5114,1287,0.0045444862636725555,0.014339893040101463,102.0,0.9503128805846958,10.70333464007987,0.01,214.0,0.44700763859411186,3000.0,source-training-image-standardised-patient-mean-coordinates
subspace,1.209327865871693e-08,8.427915313890002,0.11893828468671319,vits16,brset_to_mbrset,brset,mbrset,0,5114,1287,0.0045444862636725555,0.014339893040101463,102.0,0.9503128805846958,10.70333464007987,0.01,214.0,0.44700763859411186,3000.0,source-training-image-standardised-patient-mean-coordinates
ot_gaussian,1.2501457507958392e-08,0.9724458555045539,0.013723564807752001,vits16,brset_to_mbrset,brset,mbrset,0,5114,1287,0.0045444862636725555,0.014339893040101463,102.0,0.9503128805846958,10.70333464007987,0.01,214.0,0.44700763859411186,3000.0,source-training-image-standardised-patient-mean-coordinates
ot_entropic,0.19354439187958278,29.480609163828838,0.4160427525519111,vits16,brset_to_mbrset,brset,mbrset,0,5114,1287,0.0045444862636725555,0.014339893040101463,102.0,0.9503128805846958,10.70333464007987,0.01,214.0,0.44700763859411186,3000.0,source-training-image-standardised-patient-mean-coordinates
unaligned,20.378637885792575,64.94270898872396,1.1761081729356113,vits16,mbrset_to_brset,mbrset,brset,0,772,8524,0.026067064911641027,0.002355219189111233,84.0,0.9505074604883575,8.721435634090637,0.01,205.0,0.5988225893266806,772.0,source-training-image-standardised-patient-mean-coordinates
mean_variance,4.115833585575461e-09,55.551297964586404,1.0060303392129128,vits16,mbrset_to_brset,mbrset,brset,0,772,8524,0.026067064911641027,0.002355219189111233,84.0,0.9505074604883575,8.721435634090637,0.01,205.0,0.5988225893266806,772.0,source-training-image-standardised-patient-mean-coordinates
coral,4.152184731910947e-09,1.5442158485609758,0.02796564708418008,vits16,mbrset_to_brset,mbrset,brset,0,772,8524,0.026067064911641027,0.002355219189111233,84.0,0.9505074604883575,8.721435634090637,0.01,205.0,0.5988225893266806,772.0,source-training-image-standardised-patient-mean-coordinates
subspace,4.21335893277435e-09,9.811574783204755,0.17768697166451225,vits16,mbrset_to_brset,mbrset,brset,0,772,8524,0.026067064911641027,0.002355219189111233,84.0,0.9505074604883575,8.721435634090637,0.01,205.0,0.5988225893266806,772.0,source-training-image-standardised-patient-mean-coordinates
ot_gaussian,4.158735784922264e-09,1.3668051411038293,0.024752750882962672,vits16,mbrset_to_brset,mbrset,brset,0,772,8524,0.026067064911641027,0.002355219189111233,84.0,0.9505074604883575,8.721435634090637,0.01,205.0,0.5988225893266806,772.0,source-training-image-standardised-patient-mean-coordinates
ot_entropic,4.6687796683242264e-09,16.785856541107606,0.30399075392973146,vits16,mbrset_to_brset,mbrset,brset,0,772,8524,0.026067064911641027,0.002355219189111233,84.0,0.9505074604883575,8.721435634090637,0.01,205.0,0.5988225893266806,772.0,source-training-image-standardised-patient-mean-coordinates
unaligned,22.562776669701183,78.92655135416247,1.1129405686107785,vits16,brset_to_mbrset,brset,mbrset,1,5114,1287,0.004511177109231983,0.01434817666463632,102.0,0.950577998553668,10.671559263263957,0.01,299.0,0.4502241851586249,3000.0,source-training-image-standardised-patient-mean-coordinates
mean_variance,1.2428109232122718e-08,74.33472538392274,1.0481913895500008,vits16,brset_to_mbrset,brset,mbrset,1,5114,1287,0.004511177109231983,0.01434817666463632,102.0,0.950577998553668,10.671559263263957,0.01,299.0,0.4502241851586249,3000.0,source-training-image-standardised-patient-mean-coordinates
coral,1.1587939749912727e-08,3.633117384006183,0.0512304624718954,vits16,brset_to_mbrset,brset,mbrset,1,5114,1287,0.004511177109231983,0.01434817666463632,102.0,0.950577998553668,10.671559263263957,0.01,299.0,0.4502241851586249,3000.0,source-training-image-standardised-patient-mean-coordinates
subspace,1.1848133925534927e-08,8.400526086804328,0.11845552756670168,vits16,brset_to_mbrset,brset,mbrset,1,5114,1287,0.004511177109231983,0.01434817666463632,102.0,0.950577998553668,10.671559263263957,0.01,299.0,0.4502241851586249,3000.0,source-training-image-standardised-patient-mean-coordinates
ot_gaussian,1.0858709754816348e-08,0.9645949047694271,0.013601719362802607,vits16,brset_to_mbrset,brset,mbrset,1,5114,1287,0.004511177109231983,0.01434817666463632,102.0,0.950577998553668,10.671559263263957,0.01,299.0,0.4502241851586249,3000.0,source-training-image-standardised-patient-mean-coordinates
ot_entropic,0.1688602205954016,29.287904063660065,0.41298772140395457,vits16,brset_to_mbrset,brset,mbrset,1,5114,1287,0.004511177109231983,0.01434817666463632,102.0,0.950577998553668,10.671559263263957,0.01,299.0,0.4502241851586249,3000.0,source-training-image-standardised-patient-mean-coordinates
unaligned,20.427410470697772,64.66952755900391,1.1623784797651577,vits16,mbrset_to_brset,mbrset,brset,1,772,8524,0.027394487087463403,0.0023535297728601774,84.0,0.9504216108946761,8.765693183931235,0.01,198.0,0.6010299306707277,772.0,source-training-image-standardised-patient-mean-coordinates
