backbone,direction,source,target,split_index,attribute,best_C,source_train_n,source_train_positive,source_validation_n,size_capped,probe_coefficient_cosine,centroid_direction_cosine,coordinate_space
vits16,brset_to_mbrset,brset,mbrset,0,sex,0.01,5104,2003,1700,False,0.22033029563473433,0.36176062495039657,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,0,sex,0.01,772,266,257,False,0.22064396954167875,0.36418321118759084,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,0,sex,0.1,772,303,257,True,0.12045378500606709,0.39349596458536484,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,0,age65,0.1,3390,1402,1110,False,0.08562998277594396,0.3207901407896785,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,0,age65,0.1,770,323,256,False,0.14255092150337573,0.28941212073490474,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,0,age65,0.1,770,318,256,True,0.11783756863617466,0.36877228758260894,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,1,sex,0.1,5104,1991,1701,False,0.22560926442260454,0.3672908812877722,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,sex,0.1,772,259,257,False,0.16177430581819452,0.3688322993302335,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,1,sex,0.1,772,301,257,True,0.1697992510636719,0.4721298239395686,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,1,age65,0.1,3388,1390,1125,False,0.13623895839698905,0.3233604176741285,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,age65,0.01,770,327,256,False,0.17539704493063418,0.31634149229489605,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,1,age65,0.01,770,316,256,True,0.2338807594111498,0.3742826998895472,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,sex,0.1,5104,1959,1700,False,0.18460641134408878,0.3570516356988059,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,2,sex,0.1,772,265,257,False,0.15870990803766385,0.37231296908404304,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,2,sex,0.01,772,296,257,True,0.19714656501087344,0.5667638526744062,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,age65,1.0,3406,1365,1138,False,0.01439580532121923,0.31296794884294415,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,2,age65,0.1,770,331,256,False,0.164639203096151,0.29708612419235925,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,2,age65,0.01,770,309,256,True,0.21332851148579818,0.33000356718136714,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,3,sex,0.1,5105,1987,1699,False,0.21238347501272614,0.3998616079097356,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,3,sex,1.0,772,281,257,False,0.2101335848933507,0.3806166619904933,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,3,sex,0.01,772,300,257,True,0.21727728373070676,0.38020734704177905,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,3,age65,0.1,3354,1379,1119,False,0.1486421235677462,0.3176889850310623,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,3,age65,0.01,770,320,256,False,0.22320624831067065,0.2887585829688347,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,3,age65,0.01,770,317,256,True,0.20410295212065271,0.26764704847365073,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,4,sex,0.1,5102,1965,1702,False,0.19430239681085096,0.2980852025511036,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,4,sex,0.1,772,280,257,False,0.22586312663697578,0.39244502478137494,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,4,sex,0.1,772,297,257,True,0.15902501308616254,0.026450853448099252,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,4,age65,0.1,3403,1405,1100,False,0.13742246736060543,0.3238887030282881,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,4,age65,0.1,770,332,257,False,0.08275262600894207,0.35505896040836393,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,4,age65,0.01,770,318,257,True,0.22161070645295633,0.3295957314111243,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset,brset,mbrset,0,sex,0.1,5104,2003,1700,False,0.055299600901585796,0.43223504757430736,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,mbrset_to_brset,mbrset,brset,0,sex,0.1,772,266,257,False,0.037556385356691174,0.37679589859113816,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,0,sex,0.01,772,303,257,True,0.17714810886246893,0.3097093896051333,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset,brset,mbrset,0,age65,0.1,3390,1402,1110,False,0.0766975588028102,0.023608200558849764,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,mbrset_to_brset,mbrset,brset,0,age65,0.1,770,323,256,False,0.062963564596793,0.05656771801644439,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,0,age65,0.01,770,318,256,True,0.15002408119080274,0.0005504882317186582,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,brset_to_mbrset,brset,mbrset,1,sex,0.1,5104,1991,1701,False,0.07017033925786492,0.39263779570266266,source-training-image-standardised-patient-mean-coordinates
