backbone,direction,source,target,attribute,value,n_splits,mean,sd,minimum,maximum
vits16,brset_to_mbrset,brset,mbrset,sex,probe_coefficient_cosine,5,0.20744636864500093,0.017426194522008543,0.18460641134408878,0.22560926442260454
vits16,mbrset_to_brset,mbrset,brset,sex,probe_coefficient_cosine,5,0.1954249789855727,0.03263121835066685,0.15870990803766385,0.22586312663697578
vits16,brset_to_mbrset_sizematched,brset,mbrset,sex,probe_coefficient_cosine,5,0.17274037957949634,0.03711417251456675,0.12045378500606709,0.21727728373070676
vits16,brset_to_mbrset,brset,mbrset,age65,probe_coefficient_cosine,5,0.10446586748450075,0.05593437009994578,0.01439580532121923,0.1486421235677462
vits16,mbrset_to_brset,mbrset,brset,age65,probe_coefficient_cosine,5,0.15770920876995473,0.05123233727361784,0.08275262600894207,0.22320624831067065
vits16,brset_to_mbrset_sizematched,brset,mbrset,age65,probe_coefficient_cosine,5,0.19815209962134633,0.04621418444258119,0.11783756863617466,0.2338807594111498
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,probe_coefficient_cosine,5,0.06937399724804068,0.009107155058994981,0.055299600901585796,0.07823981053419281
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,probe_coefficient_cosine,5,0.03835312606258916,0.004605554915214493,0.03216015645715755,0.04510578831958243
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,sex,probe_coefficient_cosine,5,0.10382438550506332,0.053024012344363596,0.05502794286852606,0.17714810886246893
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,probe_coefficient_cosine,5,0.061191819872001764,0.019344225518470197,0.03207008910765834,0.0766975588028102
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,probe_coefficient_cosine,5,0.08192722843034306,0.025571620582021316,0.05456118335141629,0.11836590973577463
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,age65,probe_coefficient_cosine,5,0.05326267450558046,0.0639035106471138,0.0020967330919970245,0.15002408119080274
vits16,brset_to_mbrset,brset,mbrset,sex,centroid_direction_cosine,5,0.35680999047956274,0.036866172593604904,0.2980852025511036,0.3998616079097356
vits16,mbrset_to_brset,mbrset,brset,sex,centroid_direction_cosine,5,0.37567803327474714,0.011133740643167994,0.36418321118759084,0.39244502478137494
vits16,brset_to_mbrset_sizematched,brset,mbrset,sex,centroid_direction_cosine,5,0.36780956833784356,0.20481991546529188,0.026450853448099252,0.5667638526744062
vits16,brset_to_mbrset,brset,mbrset,age65,centroid_direction_cosine,5,0.31973923907322027,0.004513571008961623,0.31296794884294415,0.3238887030282881
vits16,mbrset_to_brset,mbrset,brset,age65,centroid_direction_cosine,5,0.30933145611987173,0.027884208978881025,0.2887585829688347,0.35505896040836393
vits16,brset_to_mbrset_sizematched,brset,mbrset,age65,centroid_direction_cosine,5,0.33406026690765966,0.04263177502448453,0.26764704847365073,0.3742826998895472
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,centroid_direction_cosine,5,0.393735304814495,0.05765594023133206,0.3171751500159916,0.4642321716695093
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,centroid_direction_cosine,5,0.4173954910537219,0.03781276907713351,0.37679589859113816,0.4716708333378512
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,sex,centroid_direction_cosine,5,0.28985543375367173,0.10726932414272673,0.18351658433060541,0.45996443432465
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,centroid_direction_cosine,5,0.040866387089631855,0.013260097883977981,0.023608200558849764,0.05581903685678567
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,centroid_direction_cosine,5,0.058343328342751334,0.016776832476438255,0.03036684239596455,0.0731737653779993
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,age65,centroid_direction_cosine,5,0.06807854172940037,0.046209772700304776,0.0005504882317186582,0.12412235078087852
