backbone,direction,source,target,attribute,outcome,method,value,n_splits,mean,sd,minimum,maximum
vits16,brset_to_mbrset,brset,mbrset,sex,0,unaligned,transport_penalty,5,0.1048201954158097,0.011190500426545909,0.09189501910079356,0.1195819864825155
vits16,brset_to_mbrset,brset,mbrset,sex,0,mean_variance,transport_penalty,5,0.11343391860123422,0.010824135530874886,0.10200099177196598,0.1276860490743461
vits16,brset_to_mbrset,brset,mbrset,sex,0,coral,transport_penalty,5,0.11542205406993833,0.006848225305997393,0.10755215985894806,0.12345724360858079
vits16,brset_to_mbrset,brset,mbrset,sex,0,subspace,transport_penalty,5,0.24337808551278287,0.03342664713212445,0.21490229209521006,0.2950613429327066
vits16,brset_to_mbrset,brset,mbrset,sex,0,ot_gaussian,transport_penalty,5,0.11644504848662951,0.007742831180194944,0.10724452688803998,0.12561526594181627
vits16,brset_to_mbrset,brset,mbrset,sex,0,ot_entropic,transport_penalty,5,0.14690438583602705,0.013367624891703348,0.12734627534528342,0.16012066558918603
vits16,brset_to_mbrset,brset,mbrset,sex,1,unaligned,transport_penalty,5,0.07078989386681703,0.03360841550174485,0.03324880247957185,0.10387902695595008
vits16,brset_to_mbrset,brset,mbrset,sex,1,mean_variance,transport_penalty,5,0.0750540058232367,0.03757416083011581,0.029538837231145032,0.10965530196299433
vits16,brset_to_mbrset,brset,mbrset,sex,1,coral,transport_penalty,5,0.08408002254156106,0.024391709133326875,0.0539119000657462,0.11050061050061055
vits16,brset_to_mbrset,brset,mbrset,sex,1,subspace,transport_penalty,5,0.12898469052315212,0.028332407486191154,0.09613036536113473,0.16234620080773937
vits16,brset_to_mbrset,brset,mbrset,sex,1,ot_gaussian,transport_penalty,5,0.07652859960552268,0.024708904107514237,0.047900817131586226,0.10519395134779741
vits16,brset_to_mbrset,brset,mbrset,sex,1,ot_entropic,transport_penalty,5,0.07091199398891712,0.008038871518195066,0.06264675495444727,0.07983469521931075
vits16,mbrset_to_brset,mbrset,brset,sex,0,unaligned,transport_penalty,5,0.1727578527382488,0.012631254859578523,0.1522926751322442,0.18681775903496078
vits16,mbrset_to_brset,mbrset,brset,sex,0,mean_variance,transport_penalty,5,0.17223222252992396,0.014164886235490759,0.14910121391049536,0.18423960953184526
vits16,mbrset_to_brset,mbrset,brset,sex,0,coral,transport_penalty,5,0.17688183927926523,0.006800408008269969,0.16677200054198693,0.18540860636467615
vits16,mbrset_to_brset,mbrset,brset,sex,0,subspace,transport_penalty,5,0.2762887171157223,0.04419525327167677,0.21230525041796144,0.336899907311588
vits16,mbrset_to_brset,mbrset,brset,sex,0,ot_gaussian,transport_penalty,5,0.16965675866949748,0.007036533189851101,0.16145044678837606,0.1776630239095076
vits16,mbrset_to_brset,mbrset,brset,sex,0,ot_entropic,transport_penalty,5,0.19727790544702312,0.004729882741902712,0.19057576940289123,0.20392840697392567
vits16,mbrset_to_brset,mbrset,brset,sex,1,unaligned,transport_penalty,5,0.12384647651006706,0.04446270369979831,0.07740404781879184,0.17163905201342278
vits16,mbrset_to_brset,mbrset,brset,sex,1,mean_variance,transport_penalty,5,0.10973678691275161,0.037982718532977446,0.07314387583892623,0.1561189177852348
vits16,mbrset_to_brset,mbrset,brset,sex,1,coral,transport_penalty,5,0.11001730285234894,0.019716619251591856,0.08220165687919467,0.13286493288590595
