backbone,direction,source,target,split_index,attribute,outcome,method,status,auroc,target_local_auroc,transport_penalty,best_C,source_train_n,n,n_negative,n_positive,coordinate_space
vits16,brset_to_mbrset,brset,mbrset,0,sex,0,unaligned,complete,0.6135349324125771,0.7331169188950926,0.1195819864825155,0.01,4772,988,656,332,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,0,sex,0,mean_variance,complete,0.6054308698207465,0.7331169188950926,0.1276860490743461,0.01,4772,988,656,332,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,0,sex,0,coral,complete,0.6117947399353512,0.7331169188950926,0.1213221789597414,0.01,4772,988,656,332,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,0,sex,0,subspace,complete,0.49711192330296794,0.7331169188950926,0.23600499559212462,0.01,4772,988,656,332,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,0,sex,0,ot_gaussian,complete,0.6109361225389363,0.7331169188950926,0.12218079635615631,0.01,4772,988,656,332,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,0,sex,0,ot_entropic,complete,0.5729962533059065,0.7331169188950926,0.16012066558918603,0.01,4772,988,656,332,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,0,sex,1,unaligned,complete,0.5781910397295013,0.6617826617826619,0.08359162205316062,0.1,332,299,182,117,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,0,sex,1,mean_variance,complete,0.5703954165492626,0.6617826617826619,0.09138724523339925,0.1,332,299,182,117,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,0,sex,1,coral,complete,0.5819479665633512,0.6617826617826619,0.07983469521931064,0.1,332,299,182,117,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,0,sex,1,subspace,complete,0.5656522964215271,0.6617826617826619,0.09613036536113473,0.1,332,299,182,117,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,0,sex,1,ot_gaussian,complete,0.5893209354747816,0.6617826617826619,0.07246172630788028,0.1,332,299,182,117,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,0,sex,1,ot_entropic,complete,0.5819479665633511,0.6617826617826619,0.07983469521931075,0.1,332,299,182,117,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,0,sex,0,unaligned,complete,0.5827343945265793,0.7583783954486049,0.1756440009220256,0.01,593,7951,4968,2983,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,0,sex,0,mean_variance,complete,0.5865495591497282,0.7583783954486049,0.17182883629887669,0.01,593,7951,4968,2983,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,0,sex,0,coral,complete,0.5792806445326523,0.7583783954486049,0.1790977509159526,0.01,593,7951,4968,2983,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,0,sex,0,subspace,complete,0.4834240513743203,0.7583783954486049,0.27495434407428454,0.01,593,7951,4968,2983,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,0,sex,0,ot_gaussian,complete,0.5901532462807223,0.7583783954486049,0.16822514916788256,0.01,593,7951,4968,2983,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,0,sex,0,ot_entropic,complete,0.5613447350336827,0.7583783954486049,0.1970336604149222,0.01,593,7951,4968,2983,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,0,sex,1,unaligned,complete,0.5647939387583893,0.6818372483221475,0.11704330956375819,1.0,179,554,256,298,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,0,sex,1,mean_variance,complete,0.5848757340604026,0.6818372483221475,0.09696151426174493,1.0,179,554,256,298,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,0,sex,1,coral,complete,0.5811005662751678,0.6818372483221475,0.10073668204697972,1.0,179,554,256,298,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,0,sex,1,subspace,complete,0.5022021812080537,0.6818372483221475,0.17963506711409383,1.0,179,554,256,298,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,0,sex,1,ot_gaussian,complete,0.5983903104026846,0.6818372483221475,0.0834469379194629,1.0,179,554,256,298,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,0,sex,1,ot_entropic,complete,0.5290216023489933,0.6818372483221475,0.15281564597315422,1.0,179,554,256,298,source-training-image-standardised-patient-mean-coordinates
