backbone,attribute,reference_evaluation,reference_auroc,reproduced_auroc,absolute_difference,reference_best_C,reproduced_best_C,reference_n,reproduced_n,tolerance,passed
vits16,sex,source_internal,0.7737767791422927,0.7737767791422927,0.0,0.01,0.01,1701,1701,1e-06,True
vits16,sex,target_transported,0.6202964955270529,0.6202964955270529,0.0,0.01,0.01,1287,1287,1e-06,True
vits16,sex,target_local_cv,0.7336669661034065,0.7336669661034065,0.0,0.01,0.01,1287,1287,1e-06,True
vits16,age65,source_internal,0.9215037678692136,0.9215037678692135,1.1102230246251565e-16,0.1,0.1,1149,1149,1e-06,True
vits16,age65,target_transported,0.6156130990161852,0.6156130990161852,0.0,0.1,0.1,1284,1284,1e-06,True
vits16,age65,target_local_cv,0.8704850642653126,0.8704850642653126,0.0,0.1,0.1,1284,1284,1e-06,True
convnext_tiny,sex,source_internal,0.7362643748379618,0.7362643748379618,0.0,0.1,0.1,1701,1701,1e-06,True
convnext_tiny,sex,target_transported,0.5319378518160218,0.5319378518160218,0.0,0.1,0.1,1287,1287,1e-06,True
convnext_tiny,sex,target_local_cv,0.7244473265968927,0.7244473265968927,0.0,0.1,0.1,1287,1287,1e-06,True
convnext_tiny,age65,source_internal,0.9117335953734071,0.9117335953734071,0.0,0.1,0.1,1149,1149,1e-06,True
convnext_tiny,age65,target_transported,0.570404236750238,0.570404236750238,0.0,0.1,0.1,1284,1284,1e-06,True
convnext_tiny,age65,target_local_cv,0.8548079974611233,0.8548079974611233,0.0,0.1,0.1,1284,1284,1e-06,True
