backbone,direction,source,target,split_index,attribute,check,value,tolerance,passed
vits16,brset_to_mbrset,brset,mbrset,0,sex,translation_invariance_external_auroc,0.0,1e-09,True
vits16,mbrset_to_brset,mbrset,brset,0,sex,translation_invariance_external_auroc,0.0,1e-09,True
vits16,brset_to_mbrset_sizematched,brset,mbrset,0,sex,translation_invariance_external_auroc,0.0,1e-09,True
vits16,brset_to_mbrset,brset,mbrset,0,age65,translation_invariance_external_auroc,0.0,1e-09,True
vits16,mbrset_to_brset,mbrset,brset,0,age65,translation_invariance_external_auroc,0.0,1e-09,True
vits16,brset_to_mbrset_sizematched,brset,mbrset,0,age65,translation_invariance_external_auroc,0.0,1e-09,True
vits16,brset_to_mbrset,brset,mbrset,1,sex,translation_invariance_external_auroc,0.0,1e-09,True
vits16,mbrset_to_brset,mbrset,brset,1,sex,translation_invariance_external_auroc,0.0,1e-09,True
vits16,brset_to_mbrset_sizematched,brset,mbrset,1,sex,translation_invariance_external_auroc,0.0,1e-09,True
vits16,brset_to_mbrset,brset,mbrset,1,age65,translation_invariance_external_auroc,0.0,1e-09,True
vits16,mbrset_to_brset,mbrset,brset,1,age65,translation_invariance_external_auroc,0.0,1e-09,True
vits16,brset_to_mbrset_sizematched,brset,mbrset,1,age65,translation_invariance_external_auroc,0.0,1e-09,True
vits16,brset_to_mbrset,brset,mbrset,2,sex,translation_invariance_external_auroc,0.0,1e-09,True
vits16,mbrset_to_brset,mbrset,brset,2,sex,translation_invariance_external_auroc,0.0,1e-09,True
vits16,brset_to_mbrset_sizematched,brset,mbrset,2,sex,translation_invariance_external_auroc,0.0,1e-09,True
vits16,brset_to_mbrset,brset,mbrset,2,age65,translation_invariance_external_auroc,0.0,1e-09,True
vits16,mbrset_to_brset,mbrset,brset,2,age65,translation_invariance_external_auroc,0.0,1e-09,True
vits16,brset_to_mbrset_sizematched,brset,mbrset,2,age65,translation_invariance_external_auroc,0.0,1e-09,True
vits16,brset_to_mbrset,brset,mbrset,3,sex,translation_invariance_external_auroc,0.0,1e-09,True
vits16,mbrset_to_brset,mbrset,brset,3,sex,translation_invariance_external_auroc,0.0,1e-09,True
vits16,brset_to_mbrset_sizematched,brset,mbrset,3,sex,translation_invariance_external_auroc,0.0,1e-09,True
vits16,brset_to_mbrset,brset,mbrset,3,age65,translation_invariance_external_auroc,0.0,1e-09,True
vits16,mbrset_to_brset,mbrset,brset,3,age65,translation_invariance_external_auroc,0.0,1e-09,True
vits16,brset_to_mbrset_sizematched,brset,mbrset,3,age65,translation_invariance_external_auroc,0.0,1e-09,True
vits16,brset_to_mbrset,brset,mbrset,4,sex,translation_invariance_external_auroc,0.0,1e-09,True
vits16,mbrset_to_brset,mbrset,brset,4,sex,translation_invariance_external_auroc,0.0,1e-09,True
vits16,brset_to_mbrset_sizematched,brset,mbrset,4,sex,translation_invariance_external_auroc,0.0,1e-09,True
vits16,brset_to_mbrset,brset,mbrset,4,age65,translation_invariance_external_auroc,0.0,1e-09,True
vits16,mbrset_to_brset,mbrset,brset,4,age65,translation_invariance_external_auroc,0.0,1e-09,True
vits16,brset_to_mbrset_sizematched,brset,mbrset,4,age65,translation_invariance_external_auroc,0.0,1e-09,True
convnext_tiny,brset_to_mbrset,brset,mbrset,0,sex,translation_invariance_external_auroc,0.0,1e-09,True
convnext_tiny,mbrset_to_brset,mbrset,brset,0,sex,translation_invariance_external_auroc,0.0,1e-09,True
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,0,sex,translation_invariance_external_auroc,0.0,1e-09,True
convnext_tiny,brset_to_mbrset,brset,mbrset,0,age65,translation_invariance_external_auroc,0.0,1e-09,True
convnext_tiny,mbrset_to_brset,mbrset,brset,0,age65,translation_invariance_external_auroc,0.0,1e-09,True
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,0,age65,translation_invariance_external_auroc,0.0,1e-09,True
convnext_tiny,brset_to_mbrset,brset,mbrset,1,sex,translation_invariance_external_auroc,0.0,1e-09,True
convnext_tiny,mbrset_to_brset,mbrset,brset,1,sex,translation_invariance_external_auroc,0.0,1e-09,True
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,1,sex,translation_invariance_external_auroc,0.0,1e-09,True
convnext_tiny,brset_to_mbrset,brset,mbrset,1,age65,translation_invariance_external_auroc,0.0,1e-09,True
convnext_tiny,mbrset_to_brset,mbrset,brset,1,age65,translation_invariance_external_auroc,0.0,1e-09,True
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,1,age65,translation_invariance_external_auroc,0.0,1e-09,True
