backbone,direction,source,target,attribute,evaluation,method,value,n_splits,mean,sd,minimum,maximum
vits16,brset_to_mbrset,brset,mbrset,sex,source_internal,unaligned,auroc,5,0.7576388481359194,0.01245131673527151,0.7454149801975889,0.7737767791422927
vits16,brset_to_mbrset,brset,mbrset,sex,target_local_cv,target_local,auroc,5,0.7386576374972758,0.004352237701617256,0.7336669661034065,0.7430832770782061
vits16,brset_to_mbrset,brset,mbrset,sex,target_external,unaligned,auroc,5,0.6362045595887972,0.015314344863974188,0.6202964955270529,0.6549585129510819
vits16,brset_to_mbrset,brset,mbrset,sex,target_external,mean_variance,auroc,5,0.6306663973507822,0.015659637209762513,0.6116376354774068,0.6473175606359399
vits16,brset_to_mbrset,brset,mbrset,sex,target_external,coral,auroc,5,0.6216572494697844,0.006296710387876428,0.6127140131078876,0.629000536859954
vits16,brset_to_mbrset,brset,mbrset,sex,target_external,subspace,auroc,5,0.49358904167840495,0.035015821133325895,0.44156731213888195,0.5274170657680021
vits16,brset_to_mbrset,brset,mbrset,sex,target_external,ot_gaussian,auroc,5,0.6202555665998692,0.006674331275809228,0.6118289915006033,0.6291387384322626
vits16,brset_to_mbrset,brset,mbrset,sex,target_external,ot_entropic,auroc,5,0.5940971982288936,0.008429757855658956,0.5835827162987492,0.6042013277981831
vits16,mbrset_to_brset,mbrset,brset,sex,source_internal,unaligned,auroc,5,0.6943266076569814,0.03153522350977723,0.6623724489795917,0.7416145728305438
vits16,mbrset_to_brset,mbrset,brset,sex,target_local_cv,target_local,auroc,5,0.7613658714404201,0.002497485568961679,0.7576909236109522,0.7635135213977362
vits16,mbrset_to_brset,mbrset,brset,sex,target_external,unaligned,auroc,5,0.5963028117244724,0.022821959868768178,0.5629569151451137,0.6194438558259
vits16,mbrset_to_brset,mbrset,brset,sex,target_external,mean_variance,auroc,5,0.6003117279729736,0.018059372823539387,0.5760233522349898,0.6230444510203768
vits16,mbrset_to_brset,mbrset,brset,sex,target_external,coral,auroc,5,0.5890013409612073,0.009233015337336276,0.5807009054405312,0.5991877803101341
vits16,mbrset_to_brset,mbrset,brset,sex,target_external,subspace,auroc,5,0.4865390925431262,0.03977966793924147,0.4331124419076282,0.5399498388092749
vits16,mbrset_to_brset,mbrset,brset,sex,target_external,ot_gaussian,auroc,5,0.5945104371402847,0.007250479263853647,0.5882378612205501,0.6034720416822832
vits16,mbrset_to_brset,mbrset,brset,sex,target_external,ot_entropic,auroc,5,0.5624274501713659,0.002378471144889458,0.5591374160849067,0.5652982880224113
vits16,brset_to_mbrset_sizematched,brset,mbrset,sex,source_internal,unaligned,auroc,5,0.703200744596221,0.017286583631740505,0.6817197433738788,0.727850307984349
vits16,brset_to_mbrset_sizematched,brset,mbrset,sex,target_local_cv,target_local,auroc,5,0.7377683635339205,0.0031516714600213287,0.7346423502772004,0.7430832770782061
vits16,brset_to_mbrset_sizematched,brset,mbrset,sex,target_external,unaligned,auroc,5,0.5884649526128071,0.02279200214202061,0.5546852990735178,0.6127724830038643
vits16,brset_to_mbrset_sizematched,brset,mbrset,sex,target_external,mean_variance,auroc,5,0.5863626940801888,0.02137372154767846,0.5519584757429664,0.606896258458202
vits16,brset_to_mbrset_sizematched,brset,mbrset,sex,target_external,coral,auroc,5,0.592375525564633,0.02009020732707316,0.5609654974459286,0.6163338312133566
vits16,brset_to_mbrset_sizematched,brset,mbrset,sex,target_external,subspace,auroc,5,0.4908382988449538,0.02268611946824372,0.45762792947467457,0.5177535865965737
vits16,brset_to_mbrset_sizematched,brset,mbrset,sex,target_external,ot_gaussian,auroc,5,0.5935380134055526,0.020837276405567193,0.5628870308455278,0.6211974634696036
vits16,brset_to_mbrset_sizematched,brset,mbrset,sex,target_external,ot_entropic,auroc,5,0.5786739027592475,0.023640984476474596,0.5493911157650786,0.6149013187619266
vits16,brset_to_mbrset,brset,mbrset,age65,source_internal,unaligned,auroc,5,0.9102537365049604,0.007229951889649662,0.9019875478927204,0.9215037678692135
vits16,brset_to_mbrset,brset,mbrset,age65,target_local_cv,target_local,auroc,5,0.8697115003173597,0.005685245908232411,0.8607411337670582,0.875133886067915
vits16,brset_to_mbrset,brset,mbrset,age65,target_external,unaligned,auroc,5,0.6327376229768328,0.02306744734041093,0.6036377340526816,0.6581814304982545
vits16,brset_to_mbrset,brset,mbrset,age65,target_external,mean_variance,auroc,5,0.59333197794351,0.03182210826493633,0.5433989209774674,0.6292174111393208
vits16,brset_to_mbrset,brset,mbrset,age65,target_external,coral,auroc,5,0.6024585449063788,0.0049743667637642324,0.5942681886702634,0.6064443827356394
vits16,brset_to_mbrset,brset,mbrset,age65,target_external,subspace,auroc,5,0.5059088384639796,0.1372960868860733,0.35482535306251983,0.6372778483021262
vits16,brset_to_mbrset,brset,mbrset,age65,target_external,ot_gaussian,auroc,5,0.6038440177721358,0.006235093778714873,0.594064880196763,0.6105502221516977
vits16,brset_to_mbrset,brset,mbrset,age65,target_external,ot_entropic,auroc,5,0.6207493652808631,0.004085598440803573,0.614780030149159,0.6253173595683911
vits16,mbrset_to_brset,mbrset,brset,age65,source_internal,unaligned,auroc,5,0.8505197129392569,0.03469310242118346,0.8115590092277806,0.8868664582950297
vits16,mbrset_to_brset,mbrset,brset,age65,target_local_cv,target_local,auroc,5,0.9144174929398096,0.001760105776657073,0.9124502788930283,0.9160613905784188
vits16,mbrset_to_brset,mbrset,brset,age65,target_external,unaligned,auroc,5,0.6684597362403814,0.03094495542942214,0.622990223238467,0.7006636889133302
vits16,mbrset_to_brset,mbrset,brset,age65,target_external,mean_variance,auroc,5,0.6762750983051409,0.031166656942742274,0.633624053645043,0.713898574110292
vits16,mbrset_to_brset,mbrset,brset,age65,target_external,coral,auroc,5,0.627782547167861,0.010315201041105653,0.6162119752407493,0.6424318479712547
vits16,mbrset_to_brset,mbrset,brset,age65,target_external,subspace,auroc,5,0.6295316240712181,0.060598570955692474,0.5419747962571688,0.6935078809505105
vits16,mbrset_to_brset,mbrset,brset,age65,target_external,ot_gaussian,auroc,5,0.6479205258239646,0.013959698744616883,0.6349307832573217,0.6659335990638787
vits16,mbrset_to_brset,mbrset,brset,age65,target_external,ot_entropic,auroc,5,0.6746409562371561,0.019664490375603475,0.6545907777166745,0.7045984141964614
vits16,brset_to_mbrset_sizematched,brset,mbrset,age65,source_internal,unaligned,auroc,5,0.8916513285730922,0.008420692142873063,0.8827227011494253,0.9023984177452871
vits16,brset_to_mbrset_sizematched,brset,mbrset,age65,target_local_cv,target_local,auroc,5,0.8687633886067916,0.0019181321735920777,0.8657494644557283,0.8704850642653126
