backbone,direction,source,target,split_index,attribute,best_C,source_train_n,source_train_positive,source_validation_n,size_capped,method,target_local_auroc,external_auroc,transport_penalty,n,n_negative,n_positive,coordinate_space
vits16,brset_to_mbrset,brset,mbrset,0,sex,0.01,5104,2003,1700,False,unaligned,0.7336669661034065,0.6202964955270529,0.11337047057635363,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,0,sex,0.01,5104,2003,1700,False,mean_variance,0.7336669661034065,0.6116376354774068,0.12202933062599974,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,0,sex,0.01,5104,2003,1700,False,coral,0.7336669661034065,0.6127140131078876,0.12095295299551889,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,0,sex,0.01,772,266,257,False,unaligned,0.7576909236109522,0.5834205759365375,0.17427034767441474,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,0,sex,0.01,772,266,257,False,mean_variance,0.7576909236109522,0.589373045792915,0.1683178778180372,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,0,sex,0.01,772,266,257,False,coral,0.7576909236109522,0.5807009054405312,0.17699001817042104,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,0,sex,0.1,772,303,257,True,unaligned,0.7372602069834318,0.6127724830038643,0.12448772397956742,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,0,sex,0.1,772,303,257,True,mean_variance,0.7372602069834318,0.5995609442356655,0.13769926274776623,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,0,sex,0.1,772,303,257,True,coral,0.7372602069834318,0.5982613179114553,0.13899888907197644,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,0,age65,0.1,3390,1402,1110,False,unaligned,0.8704850642653126,0.6156130990161852,0.25487196524912736,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,0,age65,0.1,3390,1402,1110,False,mean_variance,0.8704850642653126,0.587030902887972,0.2834541613773406,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,0,age65,0.1,3390,1402,1110,False,coral,0.8704850642653126,0.6013666296413837,0.2691184346239289,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,0,age65,0.1,770,323,256,False,unaligned,0.9160613905784188,0.6613917671770402,0.25466962340137866,5649,3313,2336,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,0,age65,0.1,770,323,256,False,mean_variance,0.9160613905784188,0.6721223780127269,0.24393901256569195,5649,3313,2336,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,0,age65,0.1,770,323,256,False,coral,0.9160613905784188,0.6162119752407493,0.2998494153376695,5649,3313,2336,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,0,age65,0.1,770,318,256,True,unaligned,0.8704850642653126,0.587801987464297,0.28268307680101556,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,0,age65,0.1,770,318,256,True,mean_variance,0.8704850642653126,0.5909458306886703,0.27953923357664223,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,0,age65,0.1,770,318,256,True,coral,0.8704850642653126,0.5954409314503333,0.2750441328149793,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,1,sex,0.1,5104,1991,1701,False,unaligned,0.7346423502772004,0.6350760905964461,0.09956625968075428,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,1,sex,0.1,5104,1991,1701,False,mean_variance,0.7346423502772004,0.6310416677740511,0.10360068250314924,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,1,sex,0.1,5104,1991,1701,False,coral,0.7346423502772004,0.6258032966390441,0.10883905363815627,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,sex,0.1,772,259,257,False,unaligned,0.7629118858264647,0.5629569151451137,0.19995497068135104,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,sex,0.1,772,259,257,False,mean_variance,0.7629118858264647,0.5760233522349898,0.18688853359147495,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,sex,0.1,772,259,257,False,coral,0.7629118858264647,0.5841677195678119,0.17874416625865286,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,1,sex,0.1,772,301,257,True,unaligned,0.7346423502772004,0.5795110853607327,0.15513126491646767,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,1,sex,0.1,772,301,257,True,mean_variance,0.7346423502772004,0.5818179885292695,0.1528243617479309,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,1,sex,0.1,772,301,257,True,coral,0.7346423502772004,0.5961590593788371,0.1384832908983633,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,1,age65,0.1,3388,1390,1125,False,unaligned,0.875133886067915,0.6510358814662012,0.2240980046017138,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,1,age65,0.1,3388,1390,1125,False,mean_variance,0.875133886067915,0.6068807521421771,0.2682531339257379,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,1,age65,0.1,3388,1390,1125,False,coral,0.875133886067915,0.6064443827356394,0.2686895033322756,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,age65,0.01,770,327,256,False,unaligned,0.9124502788930283,0.622990223238467,0.28946005565456134,5649,3313,2336,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,age65,0.01,770,327,256,False,mean_variance,0.9124502788930283,0.633624053645043,0.2788262252479853,5649,3313,2336,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,1,age65,0.01,770,327,256,False,coral,0.9124502788930283,0.6322155043022714,0.28023477459075696,5649,3313,2336,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,1,age65,0.01,770,316,256,True,unaligned,0.8702247302443669,0.6916603855918756,0.17856434465249127,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,1,age65,0.01,770,316,256,True,mean_variance,0.8702247302443669,0.6922628728974928,0.17796185734687409,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,1,age65,0.01,770,316,256,True,coral,0.8702247302443669,0.6308389201840686,0.23938581006029824,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,sex,0.1,5104,1959,1700,False,unaligned,0.7394209354120267,0.6224891166261808,0.11693181878584591,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,sex,0.1,5104,1959,1700,False,mean_variance,0.7394209354120267,0.6186407343818935,0.1207802010301332,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,2,sex,0.1,5104,1959,1700,False,coral,0.7394209354120267,0.6218432900478921,0.11757764536413462,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,2,sex,0.1,772,265,257,False,unaligned,0.7628467747619245,0.6091600999396498,0.15368667482227472,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,2,sex,0.1,772,265,257,False,mean_variance,0.7628467747619245,0.6068354132312218,0.15601136153070272,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
