backbone,direction,source,target,attribute,method,value,n_splits,mean,sd,minimum,maximum
vits16,brset_to_mbrset,brset,mbrset,sex,unaligned,transport_penalty,5,0.10245307790847864,0.012425880751607707,0.08751614566445731,0.11693181878584591
vits16,brset_to_mbrset,brset,mbrset,sex,mean_variance,transport_penalty,5,0.10799124014649357,0.012617674723569998,0.09515709797959926,0.12202933062599974
vits16,brset_to_mbrset,brset,mbrset,sex,coral,transport_penalty,5,0.1170003880274914,0.0060463154006367,0.10883905363815627,0.12415816638406207
vits16,mbrset_to_brset,mbrset,brset,sex,unaligned,transport_penalty,5,0.1650630597159477,0.02241619740372394,0.1440696655718362,0.19995497068135104
vits16,mbrset_to_brset,mbrset,brset,sex,mean_variance,transport_penalty,5,0.16105414346744656,0.01750112395822609,0.14046907037735945,0.18688853359147495
vits16,mbrset_to_brset,mbrset,brset,sex,coral,transport_penalty,5,0.17236453047921274,0.009030070689104098,0.1610058352582715,0.1807568916211162
vits16,brset_to_mbrset_sizematched,brset,mbrset,sex,unaligned,transport_penalty,5,0.1493034109211135,0.02490169355289556,0.12448772397956742,0.18839797800468827
vits16,brset_to_mbrset_sizematched,brset,mbrset,sex,mean_variance,transport_penalty,5,0.15140566945373166,0.02379844258365037,0.12988821618978252,0.19112480133523968
vits16,brset_to_mbrset_sizematched,brset,mbrset,sex,coral,transport_penalty,5,0.14539283796928734,0.022703367088471864,0.12045064343462797,0.1821177796322775
vits16,brset_to_mbrset,brset,mbrset,age65,unaligned,transport_penalty,5,0.23697387734052694,0.02007400278344462,0.21018129165344357,0.25710339971437657
vits16,brset_to_mbrset,brset,mbrset,age65,mean_variance,transport_penalty,5,0.2763795223738497,0.02822933797244071,0.23914531101237724,0.31734221278959074
vits16,brset_to_mbrset,brset,mbrset,age65,coral,transport_penalty,5,0.2672529554109807,0.0021339639194368296,0.26388448111710583,0.2691184346239289
vits16,mbrset_to_brset,mbrset,brset,age65,unaligned,transport_penalty,5,0.24595775669942815,0.03043511067339672,0.21506355721958736,0.28946005565456134
vits16,mbrset_to_brset,mbrset,brset,age65,mean_variance,transport_penalty,5,0.2381423946346687,0.030605106726798417,0.20182867202262555,0.2788262252479853
vits16,mbrset_to_brset,mbrset,brset,age65,coral,transport_penalty,5,0.2866349457719486,0.010819941345865487,0.2732953981616628,0.2998494153376695
vits16,brset_to_mbrset_sizematched,brset,mbrset,age65,unaligned,transport_penalty,5,0.23624543795620437,0.04660869786910497,0.17856434465249127,0.28268307680101556
vits16,brset_to_mbrset_sizematched,brset,mbrset,age65,mean_variance,transport_penalty,5,0.23649486274198664,0.04435835101042485,0.17796185734687409,0.27953923357664223
vits16,brset_to_mbrset_sizematched,brset,mbrset,age65,coral,transport_penalty,5,0.2661992224690574,0.02077261693161415,0.23938581006029824,0.2954320057124723
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,unaligned,transport_penalty,5,0.1599635360466909,0.021310952191348913,0.13495915080449272,0.19250947478087088
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,mean_variance,transport_penalty,5,0.14800750540846533,0.017906635231158156,0.13426016977531607,0.17732324816218492
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,coral,transport_penalty,5,0.12382382488797697,0.007788775122199422,0.11750854457798021,0.13728465803084033
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,unaligned,transport_penalty,5,0.18292433160808455,0.008570751709722609,0.17520582330957435,0.19670787722526983
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,mean_variance,transport_penalty,5,0.17499645856485874,0.011933991944143643,0.16436996526943137,0.19469768979408575
convnext_tiny,mbrset_to_brset,mbrset,brset,sex,coral,transport_penalty,5,0.17425695206472083,0.004691631841636054,0.1677528818063816,0.18039895579588827
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,sex,unaligned,transport_penalty,5,0.14841785776932032,0.02804981154836917,0.10939717537247984,0.18777872865184364
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,sex,mean_variance,transport_penalty,5,0.15087359340034334,0.028516316821922745,0.11703546996507752,0.1915394060521658
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,sex,coral,transport_penalty,5,0.12542962084930181,0.027637045627480636,0.08444647612567846,0.15281638858029778
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,unaligned,transport_penalty,5,0.2944402570612504,0.025073759993979428,0.2572967907013646,0.3235951880355443
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,mean_variance,transport_penalty,5,0.3077177880038083,0.03134037358596199,0.2661531061567757,0.35017901063154555
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,coral,transport_penalty,5,0.3216855760076166,0.008347823246044753,0.30709496985084095,0.3274704458901936
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,unaligned,transport_penalty,5,0.3500281425600272,0.040375854852246144,0.3169149448622901,0.39932264036650955
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,mean_variance,transport_penalty,5,0.3548382203358294,0.04044765632066328,0.3087122543405182,0.40587282767346555
convnext_tiny,mbrset_to_brset,mbrset,brset,age65,coral,transport_penalty,5,0.34476892089692324,0.0064992904432599995,0.3374356261551631,0.35296494403532785
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,age65,unaligned,transport_penalty,5,0.28363713900349097,0.037816546788775586,0.2366808156140907,0.342071465407807
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,age65,mean_variance,transport_penalty,5,0.2826017534116153,0.035431597786563664,0.24681152808632167,0.34044003887654695
convnext_tiny,brset_to_mbrset_sizematched,brset,mbrset,age65,coral,transport_penalty,5,0.32173565931450326,0.006351417967150973,0.3140372104093939,0.3303737900666456
