backbone,direction,source,target,attribute,k,method,n_draws,mean_auroc,mean_source_auroc,mean_target_local_auroc,mean_gain_over_source,gain_draw_p2_5,gain_draw_p97_5,share_of_ceiling_gap_recovered,anchored_minus_scratch
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,10,scratch,100,0.6600747129331184,0.5611330328364224,0.8554249597099115,0.09894168009669618,-0.12274853948428688,0.21316466055600328,0.3362024950797562,
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,10,anchored,100,0.6713028303787268,0.5611330328364224,0.8554249597099115,0.1101697975423046,-0.06557407080983081,0.1987239373489122,0.3743554867873241,0.011228117445608364
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,20,scratch,100,0.6817664640777943,0.5611993858358391,0.855573821252639,0.12056707824195508,-0.08041481671038328,0.22291056234405984,0.40957047805882374,
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,20,anchored,100,0.690751276309897,0.5611993858358391,0.855573821252639,0.12955189047405796,-0.028230567462094604,0.21296206256797387,0.4400921917374638,0.008984812232102884
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,50,scratch,100,0.7318341926358535,0.561412387375902,0.8551054647346004,0.1704218052599513,0.08512281629355668,0.23542824667394902,0.5802717816593576,
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,50,anchored,100,0.7348771971260557,0.561412387375902,0.8551054647346004,0.17346480975015363,0.09123752982508877,0.23129527441765582,0.5906329536609904,0.0030430044902023346
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,100,scratch,100,0.7634945974715293,0.5606251184765016,0.8557514982720655,0.20286947899502764,0.1325412298225405,0.2561009930153546,0.6873986633643407,
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,100,anchored,100,0.7581448256754983,0.5606251184765016,0.8557514982720655,0.19751970719899678,0.12683175607693317,0.2385187156418146,0.6692716094570057,-0.005349771796030867
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,200,scratch,100,0.7963210943124548,0.560724359442549,0.8561322398555942,0.23559673486990607,0.17501895500533876,0.28210995294289504,0.7975302979070499,
convnext_tiny,brset_to_mbrset,brset,mbrset,age65,200,anchored,100,0.78787397877735,0.560724359442549,0.8561322398555942,0.22714961933480105,0.17049053467026995,0.27156636164759,0.7689355443639349,-0.008447115535105014
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,10,scratch,100,0.5252698677372878,0.5618002514664378,0.7218438803537799,-0.03653038372915014,-0.13577325929643363,0.03749426645729125,-0.22825265824773716,
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,10,anchored,100,0.5509387091029772,0.5618002514664378,0.7218438803537799,-0.010861542363460737,-0.10301732744060058,0.05428815031865008,-0.067866133997164,0.025668841365689407
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,20,scratch,100,0.5286296722884959,0.5614846290963939,0.7219107911696149,-0.03285495680789799,-0.12659522830111072,0.05407671740024675,-0.2047979979281839,
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,20,anchored,100,0.5528374880021939,0.5614846290963939,0.7219107911696149,-0.008647141094199912,-0.09998347730700677,0.06880309886192228,-0.05390106565195536,0.024207815713698073
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,50,scratch,100,0.5619873475960433,0.5615515873015874,0.7214648320680931,0.0004357602944559458,-0.08711194501955376,0.053938132620197796,0.0027249793792391186,
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,50,anchored,100,0.5780202150908673,0.5615515873015874,0.7214648320680931,0.016468627789279974,-0.06329602311939274,0.07196823959052219,0.10298476410335076,0.016032867494824025
convnext_tiny,brset_to_mbrset,brset,mbrset,sex,100,scratch,100,0.5928669903944104,0.5618836205010905,0.7216995706545175,0.03098336989331985,-0.027978388985757177,0.09592473329958567,0.19386907166384273,
