backbone,direction,source,target,attribute,split_index,scheme,confidence_fraction,round,auroc,source_auroc,target_local_auroc,best_C,n_target_unlabelled,n_target_labelled,coordinate_space
vits16,brset_to_mbrset,brset,mbrset,sex,0,self_training,1.0,0,0.6202964955270529,0.6202964955270529,0.7336669661034065,0.01,1287,1287,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,self_training,1.0,1,0.6165889725776188,0.6202964955270529,0.7336669661034065,0.01,1287,1287,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,self_training,1.0,2,0.6040684416709633,0.6202964955270529,0.7336669661034065,0.01,1287,1287,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,self_training,1.0,3,0.5962733414482462,0.6202964955270529,0.7336669661034065,0.01,1287,1287,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,self_training,1.0,4,0.589395155503346,0.6202964955270529,0.7336669661034065,0.01,1287,1287,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,self_training,1.0,5,0.5862085461726136,0.6202964955270529,0.7336669661034065,0.01,1287,1287,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,self_training,1.0,6,0.5858364650163982,0.6202964955270529,0.7336669661034065,0.01,1287,1287,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,self_training,1.0,7,0.58567434394119,0.6202964955270529,0.7336669661034065,0.01,1287,1287,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,self_training,1.0,8,0.5852012693282872,0.6202964955270529,0.7336669661034065,0.01,1287,1287,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,self_training,1.0,9,0.5849913092472798,0.6202964955270529,0.7336669661034065,0.01,1287,1287,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,self_training,1.0,10,0.584236516044671,0.6202964955270529,0.7336669661034065,0.01,1287,1287,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,confident_self_training,0.5,0,0.6202964955270529,0.6202964955270529,0.7336669661034065,0.01,1287,1287,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,confident_self_training,0.5,1,0.6048471543764717,0.6202964955270529,0.7336669661034065,0.01,1287,1287,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,confident_self_training,0.5,2,0.5918057098511144,0.6202964955270529,0.7336669661034065,0.01,1287,1287,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,confident_self_training,0.5,3,0.5818498811998023,0.6202964955270529,0.7336669661034065,0.01,1287,1287,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,confident_self_training,0.5,4,0.5800824957077781,0.6202964955270529,0.7336669661034065,0.01,1287,1287,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,0,confident_self_training,0.5,5,0.5825887280671448,0.6202964955270529,0.7336669661034065,0.01,1287,1287,source-training-image-standardised-patient-mean-coordinates
