backbone,direction,source,target,attribute,round,value,n_splits,mean,sd,minimum,maximum
vits16,brset_to_mbrset,brset,mbrset,sex,0,auroc,10,0.6362045595887971,0.0144385028036607,0.6202964955270529,0.6549585129510819
vits16,brset_to_mbrset,brset,mbrset,sex,1,auroc,10,0.627360190505552,0.013831497861608977,0.6048471543764717,0.6475780174452909
vits16,brset_to_mbrset,brset,mbrset,sex,2,auroc,10,0.6152888147088997,0.016336200045364877,0.5918057098511144,0.6412552955121698
vits16,brset_to_mbrset,brset,mbrset,sex,3,auroc,10,0.6054374345535823,0.020733516036056387,0.5757238307349666,0.6370640670596552
vits16,brset_to_mbrset,brset,mbrset,sex,4,auroc,10,0.5993337089581197,0.022981504109307032,0.5600246636652121,0.6358999845852092
vits16,brset_to_mbrset,brset,mbrset,sex,5,auroc,10,0.5978852501714231,0.02550199202732169,0.5483173958571421,0.6368009525277598
vits16,brset_to_mbrset,brset,mbrset,sex,6,auroc,10,0.5976752900904156,0.025143947327754115,0.5453248002721508,0.634106021867741
vits16,brset_to_mbrset,brset,mbrset,sex,7,auroc,10,0.5975426697354502,0.025015179888219895,0.5437062472426129,0.633356544110221
vits16,brset_to_mbrset,brset,mbrset,sex,8,auroc,10,0.5984149342745215,0.023757205590323432,0.5465925339258283,0.6323280054855394
vits16,brset_to_mbrset,brset,mbrset,sex,9,auroc,10,0.5989172438354126,0.023154284480409303,0.5485592486086822,0.6305473313807931
vits16,brset_to_mbrset,brset,mbrset,sex,10,auroc,10,0.598653331986754,0.022852398282024646,0.5485140673254275,0.6285487240274064
vits16,brset_to_mbrset,brset,mbrset,age65,0,auroc,10,0.6327376229768327,0.021748197918757546,0.6036377340526816,0.6581814304982545
vits16,brset_to_mbrset,brset,mbrset,age65,1,auroc,10,0.6342587174706441,0.021634943694466512,0.5993682561091717,0.6620318946366234
vits16,brset_to_mbrset,brset,mbrset,age65,2,auroc,10,0.6274540820374483,0.025145927396408266,0.589842510314186,0.6579508489368455
vits16,brset_to_mbrset,brset,mbrset,age65,3,auroc,10,0.6226706303554427,0.026422075231386094,0.5856374960330054,0.65816159552523
vits16,brset_to_mbrset,brset,mbrset,age65,4,auroc,10,0.6215209457315138,0.027375575858136783,0.5852680696604253,0.6568822397651539
vits16,brset_to_mbrset,brset,mbrset,age65,5,auroc,10,0.6212772235004762,0.028097679213389747,0.5825705133291019,0.6565053752776896
vits16,brset_to_mbrset,brset,mbrset,age65,6,auroc,10,0.6217696267058077,0.028792978701944198,0.5794762575372898,0.6579210964773088
vits16,brset_to_mbrset,brset,mbrset,age65,7,auroc,10,0.6218975622818153,0.02942547967081879,0.5784250039669946,0.6597855839416058
vits16,brset_to_mbrset,brset,mbrset,age65,8,auroc,10,0.6222260790225326,0.029981759076720398,0.5772919311329736,0.6604450967946683
vits16,brset_to_mbrset,brset,mbrset,age65,9,auroc,10,0.6232103895588702,0.030110634658876322,0.5758737305617264,0.6604153443351317
